대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부
1,0,73.33,0,0,0
1,1,66.67,0,1,0
1,6,68.89,2000,0,0
1,2,86.67,0,5,0
1,8,84.44,0,1,0
2,7,95.56,0,0,0
1,7,91.11,0,1,0
1,0,88.89,0,0,0
1,0,51.11,0,1,0
1,1,88.89,1500,1,0
1,1,86.67,0,1,0
1,5,80,600,1,0
1,0,77.78,0,2,0
1,1,86.67,0,1,0
1,1,86.67,200,1,1
1,4,77.78,0,0,0
1,7,64.44,3000,1,0
1,4,73.33,0,1,0
1,2,80,0,1,0
1,7,77.78,0,0,0
1,5,84.44,0,0,0
1,3,82.22,4000,0,0
1,5,82.22,0,2,0
1,7,88.89,500,2,0
1,2,86.67,780,1,0
1,6,75.56,0,1,0
1,2,73.33,0,1,0
1,1,80,400,3,0
1,5,84.44,0,1,0
1,1,75.56,800,0,0
1,0,73.33,3000,3,0
1,4,82.22,0,1,0
2,0,84.44,0,0,0
1,0,93.33,0,0,0
1,0,77.78,0,1,0
1,3,66.67,0,1,0
1,1,73.33,0,1,0
2,4,62.22,0,0,0
1,0,93.33,0,0,0
1,0,57.78,0,1,0
1,0,68.89,0,2,0
1,0,80,0,2,0
1,2,80,0,0,0
2,0,66.67,0,1,0
1,0,66.67,0,1,0
1,3,82.22,0,2,0
1,0,44.44,3000,0,0
1,3,80,0,2,0
1,3,91.11,0,2,0
1,4,77.78,0,0,0
2,0,77.78,0,0,0
1,4,73.33,300,2,0
1,0,62.22,0,2,0
2,2,68.89,0,1,0
1,4,86.67,0,1,0
1,0,82.22,0,0,0
1,1,84.44,0,1,0
1,7,100,0,0,0
1,3,91.11,150,1,0
1,3,71.11,0,1,0
1,0,71.11,500,0,0
1,0,77.78,300,1,0
1,5,84.44,600,1,1
1,3,82.22,2000,0,3
1,5,95.56,0,1,0
1,2,82.22,0,0,0
1,3,66.67,2000,0,0
1,3,80,3000,1,0
1,0,93.33,0,0,1
1,7,84.44,1000,0,0
1,2,66.67,0,0,0
1,5,91.11,0,1,0
1,0,88.89,0,1,0
1,2,66.67,0,1,0
1,3,95.56,0,1,0
1,0,86.67,0,0,0
1,3,51.11,0,0,0
1,1,44.44,168,2,0
1,0,77.78,150,1,0
1,6,88.89,0,0,0
1,5,86.67,0,0,0
1,4,77.78,0,0,0
1,3,66.67,0,0,0
1,0,77.78,0,0,0
1,3,75.56,0,0,0
1,0,66.67,180,0,0
1,3,77.78,0,0,0
1,1,77.78,0,0,0
2,1,84.44,0,0,0
1,0,91.11,0,1,0
1,0,68.89,0,1,0
1,6,71.11,300,0,0
1,0,86.67,0,2,0
1,2,80,300,0,0
1,4,77.78,0,1,1
1,0,64.44,0,1,0
1,1,75.56,0,1,0
1,2,95.56,0,0,0
1,3,66.67,0,0,0
1,0,86.67,0,0,0
1,5,84.44,0,0,0
1,0,82.22,500,1,0
1,5,84.44,0,1,0
1,2,64.44,0,2,0
1,1,93.33,300,0,1
1,3,86.67,0,0,4
1,2,60,2000,1,0
1,5,75.56,0,0,0
1,1,82.22,360,1,0
1,0,80,1000,2,0
1,1,91.11,500,3,0
1,3,48.89,0,0,0
1,2,84.44,2200,0,0
1,1,82.22,0,1,0
1,4,91.11,0,1,0
1,2,77.78,0,0,0
1,3,95.56,800,1,1
1,0,80,0,0,0
1,6,82.22,500,1,0
1,1,60,1800,0,0
1,3,82.22,0,1,0
1,2,95.56,0,0,1
1,5,93.33,0,0,0
1,2,68.89,0,0,1
1,3,77.78,0,0,0
1,1,75.56,0,2,0
1,0,88.89,0,1,0
1,0,93.33,0,0,1
1,4,84.44,0,2,0
1,2,86.67,0,2,3
1,0,77.78,0,1,4
1,3,95.56,0,0,0
1,3,86.67,0,0,0
1,0,80,0,0,1
1,0,88.89,0,1,1
2,2,88.89,0,0,0
2,1,88.89,0,0,0
1,4,93.33,100,2,0
1,1,88.89,0,1,0
1,2,80,1500,0,1
1,0,71.11,2000,1,0
1,5,82.22,0,1,0
1,0,66.67,0,2,0
1,5,75.56,0,1,0
1,8,88.89,0,1,0
1,1,93.33,0,0,0
1,0,68.89,0,0,0
1,4,84.44,0,2,0
1,2,86.67,400,1,0
1,3,77.78,150,1,0
1,3,93.33,800,1,1
1,3,71.11,0,0,0
1,3,77.78,0,2,0
1,0,82.22,0,1,0
1,3,84.44,1000,1,1
1,1,66.67,0,0,0
1,1,77.78,0,0,0
1,0,86.67,200,1,0
1,1,86.67,60,0,1
1,2,84.44,0,0,0
1,2,84.44,0,0,0
1,0,71.11,0,0,1
