본분교,국공사립,학위과정유형,주야간,전공계열,전공_소분류_코드,학교유형,학교소재지역,성별,연령,혼인여부 및 배우자 학력,아버지 학력,어머니 학력,부모님 소득,부모님 자산,가정의 경제적 지원,대학 입학 구분,진로 선택 및 취업준비 프로그램 참여 횟수,GPA,학자금대출 금액,휴학 횟수,석사/박사 재학여부,구직기간(통합),건강한정도,재학중 일자리 경험,일자리 횟수,시간총합,연수횟수,토익,토스등급,오픽점수,토플ibt,탭스,체류시간,취업여부
1,3,3,2,3,18,1,13,2,61,6,2,1,0,0,0,1,0,84.44,0,0,0,0,4,2,0,8,0,0,0,0,0,0,0,1
1,3,5,2,3,19,1,1,2,25,0,4,4,4,3,0,1,2,86.67,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,9,2,22,0,6,4,3,3,0,2,3,95.56,280,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
1,3,5,2,3,19,1,8,2,24,0,4,4,5,2,0,1,6,84.44,0,0,0,1,4,1,1,12,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,8,2,22,0,5,7,3,2,0,1,0,71.11,1000,0,0,52,3,1,4,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,8,2,22,0,6,4,7,4,50,1,3,88.89,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,3,19,1,8,2,22,0,4,4,4,1,0,1,4,84.44,0,0,0,4,3,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,8,2,26,0,4,4,6,4,0,1,0,88.89,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,8,2,24,0,6,6,5,6,60,1,0,88.89,0,0,0,0,4,2,0,0,0,700,0,0,0,0,0,0
1,3,3,1,3,19,1,5,2,21,0,4,4,2,3,0,1,5,82.22,0,0,0,4,5,1,2,20,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,11,2,23,0,6,7,4,5,40,1,1,91.11,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0
1,2,3,1,3,19,1,15,2,22,0,6,6,0,6,0,1,0,80,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
1,3,3,1,3,19,1,15,2,22,0,6,5,6,4,0,1,1,93.33,0,0,0,13,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,14,2,22,0,6,4,0,6,0,1,4,93.33,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0
1,3,3,1,3,19,1,14,2,23,0,4,4,4,4,0,1,3,84.44,0,0,0,1,4,1,1,6,0,0,0,0,0,0,0,1
1,3,5,2,3,19,1,14,2,53,0,2,2,1,3,0,2,0,95.56,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,3,2,24,0,4,4,0,5,30,1,5,82.22,0,1,0,0,5,1,2,8,2,0,0,7,0,0,5,0
1,3,3,1,3,19,1,7,2,23,0,4,4,4,2,70,1,3,84.44,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,13,2,50,7,2,2,0,5,0,1,1,80,0,0,0,0,4,2,0,120,0,0,0,0,0,0,0,1
1,3,3,1,3,19,1,12,2,23,0,4,4,6,4,0,1,3,71.11,0,0,0,13,4,2,0,4,1,0,0,0,0,0,1,1
1,3,3,1,3,19,1,12,2,23,0,4,4,2,1,0,1,2,88.89,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
1,1,3,1,3,20,1,8,2,22,0,5,4,6,5,0,1,0,73.33,800,0,0,9,4,1,3,0,0,0,0,0,0,0,0,1
1,3,3,1,3,20,1,8,1,26,0,3,4,3,5,0,1,1,91.11,0,0,0,39,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,3,20,1,8,2,23,0,6,4,4,1,0,1,4,66.67,0,0,0,4,4,1,4,66,0,0,0,0,0,0,0,1
1,3,3,1,3,20,1,8,2,23,0,4,4,3,3,0,1,3,93.33,0,0,0,0,4,1,1,0,1,350,0,0,0,0,1,1
1,3,3,1,3,20,1,8,2,23,0,5,4,2,1,0,1,2,66.67,0,0,0,9,5,2,0,0,0,0,0,0,0,0,0,1
1,3,2,2,4,21,1,8,1,30,0,6,6,8,4,0,1,0,84.44,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1
1,3,3,1,4,21,1,8,1,22,0,4,4,3,1,0,1,3,86.67,0,0,0,0,5,2,0,0,0,500,0,0,0,0,0,1
1,3,5,2,4,21,1,8,1,48,4,2,2,4,3,0,2,1,84.44,0,0,0,26,4,2,0,0,0,0,0,0,0,0,0,1
1,3,3,1,4,22,1,1,1,25,0,4,4,5,3,0,1,6,93.33,600,0,0,13,5,1,3,0,0,0,0,0,0,0,0,1
1,3,3,1,4,22,1,8,1,25,0,6,6,2,5,0,1,5,84.44,1200,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0
1,3,3,1,4,22,1,5,2,23,0,4,5,0,6,0,1,4,88.89,120,0,0,0,5,1,3,0,0,850,0,0,0,0,0,0
